,grid_res,error_train_pressure_adam,error_train_velocity_adam,error_train_density_adam,error_test_pressure_adam,error_test_velocity_adam,error_test_density_adam,error_train_pressure_pso,error_train_velocity_pso,error_train_density_pso,error_test_pressure_pso,error_test_velocity_pso,error_test_density_pso,loss_adam,loss_pso,time_adam,time_pso,type
0,10,0.14376115798950195,0.3304363191127777,0.13027970492839813,0.14376115798950195,0.3304363191127777,0.13027970492839813,0.14380782842636108,0.3304283022880554,0.13028734922409058,0.14380782842636108,0.3304283022880554,0.13028734922409058,9.988811507355422e-05,0.00010265291348332539,1854.8443586826324,327.8486080169678,SOD_PSO
1,20,0.061021897941827774,0.15938398241996765,0.05220818147063255,0.061021897941827774,0.15938398241996765,0.05220818147063255,0.06409219652414322,0.16231384873390198,0.053519438952207565,0.06409219652414322,0.16231384873390198,0.053519438952207565,0.0033801114186644554,0.000525472336448729,3615.5397460460663,34241.51480817795,SOD_PSO
2,30,0.05200670287013054,0.15795308351516724,0.04913944751024246,0.05200670287013054,0.15795308351516724,0.04913944751024246,0.09511826932430267,0.22212590277194977,0.08442722260951996,0.09511826932430267,0.22212590277194977,0.08442722260951996,0.014147335663437843,0.0006693800096400082,3639.004333257675,34511.161113500595,SOD_PSO
3,40,0.05987295135855675,0.13017672300338745,0.05806996300816536,0.05987295135855675,0.13017672300338745,0.05806996300816536,0.08434543013572693,0.19764544069766998,0.07649560272693634,0.08434543013572693,0.19764544069766998,0.07649560272693634,0.006070272997021675,0.0013581451494246721,3646.6590464115143,34637.29976773262,SOD_PSO
4,50,0.039618246257305145,0.1408456563949585,0.04487466812133789,0.039618246257305145,0.1408456563949585,0.04487466812133789,0.04819121211767197,0.11519467085599899,0.05377954989671707,0.04819121211767197,0.11519467085599899,0.05377954989671707,0.021874742582440376,0.009673659689724445,3678.7307736873627,34656.967426776886,SOD_PSO
5,60,0.04003376141190529,0.13910537958145142,0.04608803614974022,0.04003376141190529,0.13910537958145142,0.04608803614974022,0.05626194179058075,0.13043971359729767,0.05704990774393082,0.05626194179058075,0.13043971359729767,0.05704990774393082,0.07684245705604553,0.010376915335655212,991.7468242645264,35072.296293497086,SOD_PSO
6,70,0.0367547906935215,0.16123178601264954,0.04213433712720871,0.0367547906935215,0.16123178601264954,0.04213433712720871,0.036479368805885315,0.1636790633201599,0.04091372340917587,0.036479368805885315,0.1636790633201599,0.04091372340917587,0.04144717752933502,0.03322608023881912,3749.0650005340576,35174.58927845955,SOD_PSO
7,80,0.035663168877363205,0.14335228502750397,0.042507436126470566,0.035663168877363205,0.14335228502750397,0.042507436126470566,0.033840060234069824,0.13709168136119843,0.040230028331279755,0.033840060234069824,0.13709168136119843,0.040230028331279755,0.05347239226102829,0.02847950905561447,2086.902999639511,35403.903290748596,SOD_PSO
8,90,0.037746693938970566,0.15464919805526733,0.045944493263959885,0.037746693938970566,0.15464919805526733,0.045944493263959885,0.03465230017900467,0.15920020639896393,0.04396927356719971,0.03465230017900467,0.15920020639896393,0.04396927356719971,0.06712701916694641,0.03644951432943344,1661.0052037239075,35178.29968357086,SOD_PSO
9,100,0.035230375826358795,0.15225225687026978,0.04327475652098656,0.035230375826358795,0.15225225687026978,0.04327475652098656,0.03411237895488739,0.15650972723960876,0.04351821169257164,0.03411237895488739,0.15650972723960876,0.04351821169257164,0.05583314970135689,0.04278086870908737,3706.705132961273,35158.728940963745,SOD_PSO
