,grid_res,error_train,error_test,loss,lu_f_adam,time_adam,type
0,10,0.027219261127050486,0.12630275458125872,0.003587487619370222,2.8540798666654155e-06,58.43022918701172,burgers1d_lam_KAN
1,20,0.017756707563831565,0.09003051729817374,0.0011209988733753562,7.319895303226076e-07,179.5981261730194,burgers1d_lam_KAN
2,30,0.019638665926202264,0.06701914789593912,0.0029319440945982933,1.2031254300381988e-05,474.81726598739624,burgers1d_lam_KAN
3,40,0.018284352944410744,0.05841800216222919,0.0027351914905011654,1.416014856658876e-05,1062.818127632141,burgers1d_lam_KAN
4,50,0.03405229135212989,0.061517661824908955,0.008459143340587616,0.00017043441766873002,2171.4271314144135,burgers1d_lam_KAN
5,60,0.03532722838117959,0.0506696492481954,0.00032490381272509694,6.185820211612736e-07,378.91167664527893,burgers1d_lam_KAN
6,70,0.14565630391433632,0.08673702881734122,0.0008130494970828295,3.0907262953405734e-06,575.0548985004425,burgers1d_lam_KAN
7,80,0.028730405268318365,0.04047722355504126,0.0004767979262396693,7.665626071684528e-06,807.31365275383,burgers1d_lam_KAN
8,90,0.11024676004536593,0.08263081969465863,0.0009177091997116804,8.655360943521373e-06,590.2811126708984,burgers1d_lam_KAN
9,100,0.1056393557867862,0.08389997291220719,0.0007238314719870687,1.263868125533918e-05,1200.4118666648865,burgers1d_lam_KAN
