,grid_res,error_train,error_test,loss_adam,lu_f_adam,time_adam,type
0,10,0.0076471739448606,0.0079124085605144,0.0007532287854701,4.372915807238087e-09,980.9170002937316,kdv_PINN_KAN
1,20,0.0027235317975282,0.0022646132856607,0.0004499056958593,9.988639249058906e-09,1344.2109997272491,kdv_PINN_KAN
2,30,0.0023852263111621,0.0021177525632083,0.0004315838450565,2.9975220083855447e-09,1611.3789999485016,kdv_PINN_KAN
3,40,0.0037978969048708,0.0036539291031658,0.0018408675678074,7.177479943720755e-09,1266.579000711441,kdv_PINN_KAN
4,50,0.0024213397409766,0.002311467891559,0.0004379820020403,4.38258485058185e-10,473.7409999370575,kdv_PINN_KAN
5,60,0.0025208489969372,0.0024523984175175,0.0003175698511768,1.5035748646141656e-08,1505.0880000591278,kdv_PINN_KAN
6,70,0.0020619132556021,0.002008038572967,0.0002870347816497,3.4494265221951533e-09,2329.6340000629425,kdv_PINN_KAN
7,80,0.0024214051663875,0.0023951143957674,0.0003291392931714,2.410094568361387e-09,934.210000514984,kdv_PINN_KAN
8,90,0.0023382494691759,0.0023267914075404,0.0002365929831285,1.5286893528809742e-08,2067.12600016594,kdv_PINN_KAN
9,100,0.0023009683936834,0.0023021306842565,0.0002293275756528,1.624638201747075e-08,2052.260973930359,kdv_PINN_KAN
