,grid_res,error_train,error_test,loss_pso,lu_f_pso,time_pso,type
0,10,0.0078032482415437,0.0082984222099184,0.0007166231516748,5.076652875857235e-09,9894.798999547958,kdv_PSO
1,20,0.0024978457950055,0.0018979622982442,0.0003985595831181,5.024310301138257e-09,14318.87299966812,kdv_PSO
2,30,0.0022667541634291,0.0019161312375217,0.0003045911143999,6.9658634416214235e-09,16195.74199938774,kdv_PSO
3,40,0.0020602387376129,0.0018234576564282,0.0002674427232705,3.785174840231775e-09,16309.4430000782,kdv_PSO
4,50,0.002090606605634,0.0019436067668721,0.0002849090378731,8.976205334576547e-10,16255.541999578476,kdv_PSO
5,60,0.0019697742536664,0.0018634988227859,0.0002228109515272,7.917345890007255e-09,16260.832000255585,kdv_PSO
6,70,0.0018532819813117,0.001780915306881,0.0001862945355242,2.4710904433788983e-09,16332.099000930786,kdv_PSO
7,80,0.001895897090435,0.0018583652563393,0.0002277683815918,1.773967417406652e-09,15564.43499994278,kdv_PSO
8,90,0.0018445171881467,0.0018281328957527,0.0001747945207171,1.1263004751072005e-08,15150.912999629974,kdv_PSO
9,100,0.0019115672912448,0.0019131397129967,0.0001722691813483,1.1068483019016641e-08,15682.551509141922,kdv_PSO
