,grid_res,error_train,error_test,loss_pso,lu_f_pso,time_pso,type
0,10,0.0307942852377891,0.0654671639204025,0.0007430367986671,4.5184836428013847e-10,1318.6208319664,kdv_PSO_KAN
1,20,0.0391211695969104,0.041256196796894,0.0004733641981147,1.3918032948367909e-08,5572.800494670868,kdv_PSO_KAN
2,30,0.0450479984283447,0.0454056859016418,0.0003299001255072,1.3587023950378809e-08,1195.5871605873108,kdv_PSO_KAN
3,40,0.0604458898305892,0.0608091354370117,0.000289557443466,5.02744157415691e-08,2410.2880017757416,kdv_PSO_KAN
4,50,0.0349176190793514,0.0350045450031757,0.0002523293951526,2.5066711373256112e-08,3069.6881432533264,kdv_PSO_KAN
5,60,0.0263353250920772,0.0263715833425521,0.000226188567467,2.512794416986708e-08,4563.296209096909,kdv_PSO_KAN
6,70,0.0395057313144207,0.0395533740520477,0.0001991578756133,6.247542216897274e-08,4989.838754892349,kdv_PSO_KAN
7,80,0.0477743670344352,0.0478146374225616,0.0002751653955783,5.92703543134121e-07,3007.698238134384,kdv_PSO_KAN
8,90,0.0283821057528257,0.0283871125429868,0.0002073671785183,7.153605707799215e-08,8193.576266050339,kdv_PSO_KAN
9,100,0.0329401716589927,0.0329370945692062,0.0002281573833897,1.2510857061442948e-07,6998.260439157486,kdv_PSO_KAN
