,grid_res,error_train,error_test,loss,lu_f_adam,time_adam,type
0,10,0.0719110295176506,0.29091814160346985,0.0006803974974900484,3.545196775034398e-11,2329.333000421524,kdv_fourier
1,20,0.06527242809534073,0.12773652374744415,0.00037443567998707294,1.8710108462549613e-10,2202.053999900818,kdv_fourier
2,30,0.10022390633821487,0.23135121166706085,0.00024760939413681626,1.1606018923693284e-10,5985.585000276566,kdv_fourier
3,40,0.046291153877973557,0.08973689377307892,0.0002516006352379918,8.648095572993952e-10,3789.901000738144,kdv_fourier
4,50,0.04840387776494026,0.11310964822769165,0.0008061946136876941,7.649386901675825e-09,8649.005000114441,kdv_fourier
5,60,0.022646049037575722,0.03891165554523468,0.0001290225045522675,9.823780677820082e-11,9271.678782224655,kdv_fourier
6,70,0.002548490883782506,0.0004067119734827429,0.0001730732328724116,8.72594583256614e-08,6636.727688550949,kdv_fourier
7,80,0.002337314421311021,0.00031124288216233253,0.00020087984739802778,1.313782149736653e-07,6300.216784000397,kdv_fourier
8,90,0.0022763090673834085,0.0004763950710184872,0.0006136640440672636,1.0590511578811856e-07,4265.893335819244,kdv_fourier
9,100,0.0022579145152121782,0.0001698394917184487,0.00012434623204171658,3.072388210512145e-08,10859.148144960403,kdv_fourier
