,grid_res,error_train,error_test,loss,lu_f_adam,time_adam,type
0,10,0.006510347127914429,0.007796764373779297,0.00019572624296415597,3.3265698107243225e-07,669.2497246265411,kdv_lam
1,20,0.012364779599010944,0.00511476956307888,0.0006702069658786058,5.31785599378054e-06,1522.2937908172607,kdv_lam
2,30,0.0037048915401101112,0.002453600987792015,1.8346203565597534,6.852298639614673e-08,2623.0063428878784,kdv_lam
3,40,0.012111783027648926,0.0020830808207392693,18.077489852905273,7.684845513722394e-06,6057.779291391373,kdv_lam
4,50,0.002584706759080291,0.0003456906124483794,0.00045389693696051836,5.243089074014051e-09,7172.591767311096,kdv_lam
5,60,0.002498707501217723,0.0008041819091886282,0.00039446071605198085,1.0290324148343188e-09,14372.246428251266,kdv_lam
6,70,0.0034338843543082476,0.0022557431366294622,0.0005499378312379122,2.2174398850438592e-07,25775.07900071144,kdv_lam
7,80,0.0025247943121939898,0.00047737223212607205,0.001047154888510704,3.276889870562627e-09,43474.91987323761,kdv_lam
8,90,0.003185293171554804,0.0006676506600342691,0.001338244997896254,2.2946773370335904e-09,101372.76155304909,kdv_lam
9,100,0.0024031461216509342,0.00018287776038050652,0.00036008338793180883,5.2306958764347655e-09,102189.07649612427,kdv_lam
