,grid_res,error_train_NGD,error_test_NGD,loss_NGD,lu_f_NGD,time_NGD,type
0,2,8.860563793205848e-07,0.7035628943006529,1.2784446477203587e-26,1.1448777188755113e-26,3.2691385746002197,poisson_NGD
1,5,0.7341988240701975,0.8602381558054807,6.0720083615567346e-27,6.349152988293342e-27,3.7099690437316895,poisson_NGD
2,8,0.6914351912168945,0.7392504219827623,4.888549746790848e-26,5.188870033311704e-26,6.422967433929443,poisson_NGD
3,10,0.02289290590503,0.024638153861859923,5.185532060165714e-22,5.607343307098442e-22,8.787975549697876,poisson_NGD
4,40,1.5177351571705755e-07,1.5443887628066225e-07,5.084335307438093e-09,5.209279935463944e-09,14.151714324951172,poisson_NGD
5,70,3.282979368002648e-08,3.2880048080693695e-08,1.966788462063155e-09,1.992858816852951e-09,14.510878086090088,poisson_NGD
6,100,2.1566674784540395e-07,2.1571223288338552e-07,6.724263196239253e-09,6.765357364251458e-09,19.816967725753784,poisson_NGD
7,400,4.657513731845701e-09,4.63993256209387e-09,1.3381609057192636e-09,1.332335912403993e-09,61.84497547149658,poisson_NGD
8,700,8.589125986864032e-08,8.56442018497809e-08,6.782139162748231e-08,6.603912454403672e-08,294.02587270736694,poisson_NGD
9,1000,7.469264369735648e-08,7.522893045156786e-08,2.0398773093687886e-08,1.9890526405078638e-08,369.4481680393219,poisson_NGD
10,4000,2.5167680781187046e-08,2.506140593826552e-08,3.927639970041954e-08,3.8923913714296836e-08,14330.300382375717,poisson_NGD
11,7000,1.730368205844963e-08,1.760334589634318e-08,2.1123031641878168e-09,2.0983438723224983e-09,21882.35931634903,poisson_NGD
12,10000,1.4593530980077598e-09,1.4522742563354047e-09,2.1590394414031297e-10,2.1448994459127335e-10,36114.936938524246,poisson_NGD
