,grid_res,l2_error_train,l2_error_test,c2_error_train,c2_error_test,loss,lu_f,lu,run_time,type
0,2,2.0773854e-05,7.0356193,12.56652,171.46065,[3.2041706e-11],1.5601094634914991e-12,1.064528132310727e-09,3302.066910266876,poisson1d_PSO
1,5,1.2299887,6.412296,13.403238,164.92589,[1.4828456e-07],1.7543517571994016e-07,12468.4384765625,3705.5891592502594,poisson1d_PSO
2,8,1.4737628,5.3918514,13.591313,288.331,[1.387291e-05],1.5505345800193027e-05,12468.0771484375,4003.2510776519775,poisson1d_PSO
3,10,4.1679068,13.163413,14.750704,305.19168,[3.406737e-05],3.646972618298605e-05,12468.4443359375,4052.9493339061737,poisson1d_PSO
4,40,0.0021947578,0.0035288166,0.111738175,8.917314,[5.077926e-06],5.199191946303472e-06,12468.3876953125,5283.648588895798,poisson1d_PSO
5,70,0.00018884722,0.00022318133,0.014806651,0.044601344,[3.2334166e-05],3.277158975834027e-05,12468.3388671875,11242.116453170776,poisson1d_PSO
6,100,0.0010830006,0.0010775625,0.016875695,0.015235376,[4.3885357e-05],4.421089033712633e-05,12468.4990234375,8802.472604513168,poisson1d_PSO
7,400,0.0015396348,0.00077455596,0.038447354,0.03843138,[5.251175e-05],5.0647533498704433e-05,12468.1806640625,6479.908193349838,poisson1d_PSO
8,700,0.0006276162,0.0002391188,0.042430695,0.042436164,[6.0916238e-05],5.912435153732076e-05,12468.3759765625,9279.477287530899,poisson1d_PSO
9,1000,0.0012617034,0.0004031773,0.04545288,0.04543336,[3.9614253e-05],3.828121771221049e-05,12468.2939453125,11928.882866382599,poisson1d_PSO
10,4000,0.0012970738,0.00020908198,0.036093805,0.036074135,[2.802075e-05],2.777182453428395e-05,12468.2998046875,11319.520033597946,poisson1d_PSO
11,7000,0.0018112933,0.00021856948,0.049299505,0.0492952,[3.3663808e-05],3.3477528631919995e-05,12468.3701171875,15308.785030126572,poisson1d_PSO
12,10000,0.0047488254,0.00047862786,0.059271153,0.059261702,[4.4265213e-05],4.405385334393941e-05,12468.537109375,13012.602324008942,poisson1d_PSO
