,grid_res,l2_error_train,l2_error_test,c2_error_train,c2_error_test,loss,lu_f,lu,run_time,type
1,5,1.852468,8.994683,14.013041,162.10126,[0.02986869],0.006120019592344761,12468.083984375,203.68100094795227,poisson1d_lam
2,8,2.329749,8.43653,14.477463,362.36548,[0.07858633],0.0253476332873106,12468.326171875,267.44400000572205,poisson1d_lam
3,10,3.8236141,12.1352,15.737281,365.92908,[0.00040004],1.985289782169275e-05,12468.7021484375,294.07000064849854,poisson1d_lam
4,40,0.728761,1.14701,3.3353949,199.74263,[0.00300045],0.0025008965749293566,12467.7783203125,616.1020023822784,poisson1d_lam
5,70,17.080433,20.2175,42.02867,42.151974,[260.92535],134.27586364746094,12092.759765625,439.8839998245239,poisson1d_lam
6,100,0.0018724119,0.0018635035,0.51213086,0.51044095,[0.00852241],0.0077066076919436455,12467.9111328125,990.349000453949,poisson1d_lam
7,400,34.107765,16.970156,60.788338,60.305805,[475.07397],454.056640625,11977.7451171875,1066.593001127243,poisson1d_lam
8,700,0.2056401,0.07737198,4.5039315,4.495339,[1.0025057],0.9948272705078125,12420.6171875,3589.7660007476807,poisson1d_lam
9,1000,0.014447263,0.004545589,0.3158143,0.3158696,[0.00126876],0.0011801676591858268,12466.962890625,7110.183000087738,poisson1d_lam
10,4000,40.814285,6.4212837,56.684727,56.684723,[213.12837],207.33926391601562,11728.7724609375,7825.1799993515015,poisson1d_lam
11,7000,83.997635,9.989592,84.47437,84.34026,[863.1406],850.5578002929688,10959.0537109375,23618.214000940323,poisson1d_lam
12,10000,0.12697686,0.012635903,0.49895176,0.49896148,[0.14400786],0.0026069777086377144,12468.84765625,94089.13750910759,poisson1d_lam
