,grid_res,l2_error_train,l2_error_test,c2_error_train,c2_error_test,loss,lu_f,lu,run_time,type
0,2,1.20223185e-05,,,,[1.1216752e-09],,,116.21817326545715,poisson1d_mat
1,5,1.5240623,,,,[10184.073],,,345.69999957084656,poisson1d_mat
2,8,1.116153,,,,[391.16446],,,299.1049997806549,poisson1d_mat
3,10,1.0633559,,,,[25.330046],,,559.8916609287262,poisson1d_mat
4,40,0.25189552,,,,[0.00178149],,,2369.029018640518,poisson1d_mat
5,70,0.111762464,,,,[0.00139199],,,2957.7395372390747,poisson1d_mat
6,100,0.058836624,,,,[0.02723536],,,6383.308994054794,poisson1d_mat
7,400,0.00073012814,,,,[3.3646069],,,6494.123259544373,poisson1d_mat
8,700,0.0010197837,,,,[0.01664273],,,7095.511000156403,poisson1d_mat
9,1000,0.0014379198,,,,[465.52917],,,3760.6470069885254,poisson1d_mat
10,4000,0.0020452896,,,,[3423.446],,,6052.690986633301,poisson1d_mat
11,7000,0.0016621904,,,,[45.32702],,,6132.071001291275,poisson1d_mat
12,10000,0.0076313945,,,,[22406784.],,,3464.1240000724792,poisson1d_mat
