,grid_res,time,RMSE,loss,type
0,10,37.281559228897095,0.0003124771582883591,0.00037450606664179986,PI
1,10,42.79400086402893,0.002144704697670776,0.0006628908672350609,PI
2,10,34.60100054740906,0.0014573341444983389,0.0009795298508383787,PI
3,10,36.53999924659729,0.0011540529867306072,0.0005900774930858235,PI
4,10,55.89900064468384,0.002480362413578064,0.0003800417482403562,PI
5,10,21.017001152038574,0.000977975125640792,0.0013000222310589685,PI
6,10,27.49500036239624,0.0006492805654742308,0.000416514565728221,PI
7,10,65.1089997291565,0.0004527638332979152,0.0007447953573996857,PI
8,10,21.925000429153442,0.0023214313788682017,0.00029764828896539086,PI
9,10,28.31399941444397,0.0011539895366606116,0.0006786707274710757,PI
10,20,20.6419997215271,0.0010140234878771798,0.000787121617854554,PI
11,20,29.834001064300537,0.0007315624665762361,0.00018480724418923344,PI
12,20,17.812000513076782,0.0006716450544478424,0.000815918871137189,PI
13,20,35.71099925041199,0.0008058392342101516,0.0003757889628951405,PI
14,20,23.88699984550476,0.00010481804284990067,0.0012204228675073425,PI
15,20,65.97953987121582,0.0009419832741088793,0.0003809569647335101,PI
16,20,49.01400017738342,0.00036618189451314675,0.0005155271635218783,PI
17,20,19.640999794006348,0.0007492031776274424,0.0004780692558199462,PI
18,20,22.57500171661377,0.00040152209871480474,0.0005902488592224309,PI
19,20,56.914000511169434,0.0006064542388837529,0.0005622714733770143,PI
20,30,36.081000328063965,0.000319567815178287,0.0005494126126837362,PI
21,30,46.205100536346436,0.002094814603471985,0.0006648689633479699,PI
22,30,48.33391213417053,0.0009871463064191279,0.0005089233591813753,PI
23,30,31.832258224487305,0.0010812400823897916,0.0006642247961825554,PI
24,30,54.20285367965698,0.0004954662253437992,0.0008919697352286561,PI
25,30,34.848934173583984,0.0006406474401123158,0.0005042284539977307,PI
26,30,29.44424796104431,0.00011676713136258523,0.0005524987626257607,PI
27,30,16.346001148223877,0.00048006197324234506,0.00037930180982950756,PI
28,30,46.04154324531555,0.0010681159271739406,0.0005226076156673587,PI
29,30,39.91999936103821,0.0009918534969926627,0.0004542963311156001,PI
30,40,25.591495752334595,0.0008283423936637712,0.0003340609586787169,PI
31,40,23.373457193374634,0.001192508007853455,0.0008335213576807776,PI
32,40,29.099836826324463,0.00031235436120650203,0.00034459567306199985,PI
33,40,31.186035633087158,0.0009360008456539405,0.00037825340530076024,PI
34,40,68.29795670509338,0.00048103383691773104,0.0008754796480974283,PI
35,40,22.47472882270813,0.0005633814900547471,0.0004785880378533891,PI
36,40,38.59894156455994,0.0010156285421369967,0.000767587672212966,PI
37,40,45.95120143890381,0.000580627446831542,0.0005101896088600114,PI
38,40,37.63644194602966,0.0013090958059502784,0.00044792899290879706,PI
39,40,42.56427264213562,0.00025560619713339204,0.0005651410453779704,PI
40,50,25.599563598632812,0.0007649407298877582,0.000686004752509426,PI
41,50,23.98059105873108,0.0011792343862162967,0.00040912488577760087,PI
42,50,60.67047119140625,0.0013730631711116501,0.0008480073536532018,PI
43,50,17.999217987060547,0.0009772810791840874,0.0007924958119649439,PI
44,50,27.71171736717224,0.0007559019281675735,0.0006474000189601939,PI
45,50,33.96410393714905,0.0017852832858362582,0.000531941032450689,PI
46,50,25.292667627334595,0.001465020409642286,0.0005783009180473433,PI
47,50,45.83796048164368,0.0014259060320093789,0.0004738664429706496,PI
48,50,28.74359893798828,0.0003425516571004226,0.000569468034244465,PI
49,50,20.70894455909729,0.0002185511685414451,0.0005330189550574183,PI
50,60,40.93215012550354,0.0006229085802429981,0.0006121202056643144,PI
51,60,20.77400016784668,0.0011359278155097822,0.0005117589318254234,PI
52,60,41.873000621795654,0.0003475361748530155,0.0007064023908150974,PI
53,60,39.84899950027466,0.0018232794586556047,0.0007322019551925865,PI
54,60,29.32800006866455,0.0006780236077657368,0.0008263125284475592,PI
55,60,43.35599946975708,0.0006235775275003054,0.0005443850092206048,PI
56,60,13.740999937057495,0.00022001669232243464,0.0007186942773592664,PI
57,60,23.30400037765503,0.0006322572417351027,0.0008939889895095421,PI
58,60,21.87999963760376,0.00038430202880391796,0.0005271535601504285,PI
59,60,38.03707766532898,0.0001322540834186191,0.0005522676087821379,PI
60,70,21.38037872314453,0.0012287905399543725,0.0007038672884758235,PI
61,70,45.217284202575684,0.000923400468495198,0.000669597939290445,PI
62,70,16.457241773605347,0.00028303446649126715,0.0005140640426761836,PI
63,70,24.15357208251953,0.000710944661040453,0.0006067673501083393,PI
64,70,23.594353199005127,0.00019927704926847543,0.0006408182293111101,PI
65,70,48.34341239929199,0.0005030962301412436,0.0005564230443811102,PI
66,70,21.373161554336548,0.0005538399231336889,0.0009236842299693848,PI
67,70,54.950313329696655,0.00022849647770174648,0.00042362029267239976,PI
68,70,53.78616285324097,0.0002810325858263096,0.00039855848246539427,PI
69,70,21.78689742088318,0.00041298429996744376,0.0006207743430287141,PI
70,80,33.48381686210632,0.0016628257611825679,0.0007413409237106983,PI
71,80,20.609368324279785,0.0003810436353801689,0.0004499248429389313,PI
72,80,69.76695132255554,0.0014271343883801313,0.0005827555178578026,PI
73,80,53.52036905288696,0.00033473508166692015,0.0005400956863468309,PI
74,80,55.416863679885864,0.0012941744077431126,0.0005972730725507525,PI
75,80,40.493932485580444,0.00018104103312218236,0.0007041096907692834,PI
76,80,45.59791016578674,0.0010717461367490291,0.0006561824887832135,PI
77,80,49.39799952507019,0.0002661432577974846,0.0005096688593485554,PI
78,80,48.710999965667725,0.0004758462755739304,0.0006396107434637078,PI
79,80,30.45400071144104,0.0012833896963888613,0.0009163524593372163,PI
80,90,40.49322485923767,0.000881927432573612,0.0006908392832376893,PI
81,90,49.956475257873535,0.0003913797550311963,0.0007023841421648358,PI
82,90,23.848047494888306,0.00039853126786012247,0.00037122408022860487,PI
83,90,18.148215293884277,0.0001433372966137087,0.0006757373928910626,PI
84,90,33.37707805633545,0.0013403591256930345,0.0007225910038968098,PI
85,90,42.48699975013733,0.001452577977441177,0.000635363045380477,PI
86,90,26.08000159263611,0.00027445257791904363,0.000629481165978274,PI
87,90,31.182084321975708,0.00023650511208808678,0.0007765133490612586,PI
88,90,33.869507789611816,0.00022252361047352107,0.0005776429870804067,PI
89,90,36.403016567230225,0.00015757395474451973,0.0006718925807876197,PI
90,100,34.11599922180176,0.0005102309974375291,0.0007371131275007593,PI
91,100,23.58799934387207,0.0003491125781618147,0.0006964598294524338,PI
92,100,31.644229412078857,0.00020405089662642559,0.0006703025732708937,PI
93,100,29.209091424942017,0.00017551212182017874,0.0004645481774065985,PI
94,100,31.367000102996826,0.001567438795489696,0.0007362795995086227,PI
95,100,36.6203236579895,0.00023987256584890682,0.0004583807179767696,PI
96,100,27.20708966255188,0.0027939578177460654,0.0010088943327036803,PI
97,100,28.0168137550354,0.00027686848542717897,0.0006082877490543315,PI
98,100,24.236713886260986,0.0003753236610404883,0.000782654587652587,PI
99,100,37.46129059791565,0.00064848363253816,0.0006118845000142592,PI
100,100,35.603883028030396,0.0007132115690668903,0.0007324422906962724,PI
101,100,33.28315186500549,0.0005671299399024392,0.0005095666289510747,PI
102,100,44.53467893600464,0.0004977769661835582,0.000538506558302676,PI
103,100,62.3152813911438,0.0006095978549831523,0.0006219229304704754,PI
104,100,21.752326488494873,0.0006050754161762477,0.000521303918154652,PI
105,100,26.313455820083618,0.00025876447920195256,0.0006004698736347125,PI
106,100,51.201459884643555,0.0006281681748538732,0.0006724892265391746,PI
107,100,18.082000970840454,0.0004905392599573801,0.0006890935237395326,PI
108,100,22.378047943115234,0.0007450684463358907,0.0007592390208093214,PI
109,100,28.46115493774414,0.00015899815144523576,0.0005208716512674905,PI
110,200,51.576815605163574,0.000640222482029678,0.0005991962512621463,PI
111,200,52.71195578575134,0.0007091266302711544,0.0005565165602351499,PI
112,200,46.96053433418274,0.000724378828874175,0.0004642935484300559,PI
113,200,16.020000457763672,0.00023057537740258478,0.0007324508218578274,PI
114,200,34.23399996757507,0.0009094253822877534,0.0007641555243298737,PI
115,200,35.88399958610535,0.0011832647046226693,0.000595827519025538,PI
116,200,57.963998794555664,0.001540138613637886,0.0007449598529376544,PI
117,200,39.79099988937378,0.0006394141603298943,0.0006809779873340471,PI
118,200,25.74199914932251,0.0006007248574971685,0.00045704050631359405,PI
119,200,28.938000440597534,0.0018938016412649603,0.0008465178823857944,PI
120,300,46.91700077056885,0.0015701923982491496,0.0006704134987387533,PI
121,300,27.307000637054443,0.000217528467607621,0.000630962128698731,PI
122,300,24.21400022506714,0.0005047234489201923,0.0008367669056217331,PI
123,300,24.96700119972229,0.0006096599974533821,0.000926180799544013,PI
124,300,48.03764581680298,0.0001738407667497519,0.0005564042819892201,PI
125,300,24.068542003631592,0.0005729070525528053,0.0007388583940858284,PI
126,300,26.93500018119812,0.0005087271463289979,0.0006893988724075983,PI
127,300,27.446024656295776,0.0005445163654059058,0.0005714085548521597,PI
