,grid_res,time,RMSE,loss,type,cache
0,10,74.31499743461609,218.18462,399236.99296127836,wave_eqn,True
1,10,22.5404691696167,218.18446,399557.71134904615,wave_eqn,True
2,10,44.04190754890442,218.17035,399367.4823901721,wave_eqn,True
3,10,42.24368453025818,218.17899,399415.7441291337,wave_eqn,True
4,10,41.94712829589844,218.18196,399192.35274146515,wave_eqn,True
5,10,26.317047595977783,218.18121,399286.99367367977,wave_eqn,True
6,10,24.308722257614136,218.19629,399348.30027219903,wave_eqn,True
7,10,36.2939236164093,218.1785,399208.1578399352,wave_eqn,True
8,10,54.15197539329529,218.17677,399101.96113974974,wave_eqn,True
9,10,55.91123080253601,218.1802,399142.6850389799,wave_eqn,True
10,20,443.2485489845276,205.18687,233326.42887129507,wave_eqn,True
11,20,111.56166052818298,205.29364,234379.9960959325,wave_eqn,True
12,20,96.38595581054688,205.33232,235516.5182581049,wave_eqn,True
13,20,33.716572761535645,205.33788,235891.63181425555,wave_eqn,True
14,20,202.1261031627655,205.3694,238130.42138064245,wave_eqn,True
15,20,43.6321702003479,205.37662,238460.82351944208,wave_eqn,True
16,20,128.68584084510803,205.37999,239349.56306346046,wave_eqn,True
17,20,39.281774044036865,205.37848,239562.12398284837,wave_eqn,True
18,20,146.3342685699463,205.3962,240787.15409249815,wave_eqn,True
19,20,173.4649782180786,205.42938,242506.11946269483,wave_eqn,True
20,30,616.9301540851593,201.13908,176435.74628620362,wave_eqn,True
21,30,412.35469937324524,201.14511,186552.23180898855,wave_eqn,True
22,30,200.59000062942505,201.08447,187370.657904625,wave_eqn,True
23,30,576.1879992485046,200.92688,187686.41941407917,wave_eqn,True
24,30,203.4340000152588,200.89568,188296.81056467103,wave_eqn,True
25,30,155.15629863739014,200.8705,188735.86889931318,wave_eqn,True
26,30,191.05060029029846,200.84428,189299.02523429776,wave_eqn,True
27,30,226.78973484039307,200.82288,189965.9094656387,wave_eqn,True
28,30,293.7828040122986,200.7947,190803.08838742465,wave_eqn,True
29,30,824.3720290660858,200.73369,192915.53047538205,wave_eqn,True
30,40,998.9183976650238,198.944,142285.44387703005,wave_eqn,True
31,40,1101.5160491466522,198.7056,149068.2015138268,wave_eqn,True
32,40,563.0244083404541,198.59471,151689.09251062002,wave_eqn,True
33,40,1067.0106942653656,198.54343,159417.7136509368,wave_eqn,True
34,40,952.5151512622833,198.45491,161702.14606464843,wave_eqn,True
35,40,1053.8077456951141,198.37224,161375.41383674825,wave_eqn,True
