,grid_res,l2_loss,lu_f,lu,l2_norm,c2_norm,type
0,2,[nan],,,nan,nan,Poisson
1,5,[0.01120787],0.002933657728135586,12469.0341796875,1.2580413,13.354335,Poisson
2,8,[4.7408023e-05],1.7536312952870503e-05,12468.041015625,2.8295784,13.988099,Poisson
3,10,[0.00438706],0.0009010238572955132,12468.078125,4.8122168,16.00703,Poisson
4,40,[0.00025775],0.00023088269517756999,12468.3388671875,0.017467976,0.42359,Poisson
5,70,[0.2856744],0.2661612927913666,12426.41796875,0.06172671,1.6420537,Poisson
6,100,[0.08918965],0.08249795436859131,12455.755859375,0.033289384,1.571683,Poisson
7,400,[0.01537422],0.014720456674695015,12466.98046875,0.12075342,0.68260705,Poisson
8,700,[0.00497536],0.004670155234634876,12468.4423828125,0.0029182828,0.52603006,Poisson
9,1000,[1.1573058],1.1554887294769287,12397.5224609375,0.39158747,4.401623,Poisson
10,4000,[70.96614],70.19160461425781,12241.9404296875,41.307346,38.344837,Poisson
11,7000,[24.160357],23.948610305786133,12315.1357421875,34.157574,32.313087,Poisson
12,10000,[0.00055429],0.0004935551551170647,12468.2119140625,0.00095105194,0.16973835,Poisson
