,grid_res,l2_loss,l2_norm,c2_norm,type
0,2,[2.018713e-11],0.9128641,0.20064405,Poisson
1,3,[2.5167424e-11],0.04067699,0.010433745,Poisson
2,4,[6.866954e-12],0.00578107,0.0041358173,Poisson
3,5,[4.8852332e-11],0.0032628174,0.004561305,Poisson
4,6,[5.6530607e-11],0.0004489707,0.00028330088,Poisson
5,7,[2.7919445e-11],0.0009316823,0.00042417645,Poisson
6,8,[1.6379345e-10],0.0006090082,0.00011253357,Poisson
7,9,[6.416134e-11],0.00021097911,5.310774e-05,Poisson
8,10,[4.843905e-10],0.0007041669,7.1942806e-05,Poisson
9,20,[1.9041145e-10],0.0005250695,4.5835972e-05,Poisson
10,30,[3.4193265e-10],0.00073548435,5.7548285e-05,Poisson
11,40,[5.507452e-10],0.0011203438,8.749962e-05,Poisson
12,50,[4.0638015e-10],0.00053818757,6.753206e-05,Poisson
13,60,[5.8161265e-10],0.00069930067,0.00010180473,Poisson
14,70,[5.821677e-10],0.0001112123,9.727478e-05,Poisson
15,80,[6.90452e-10],0.00046129525,0.00012411922,Poisson
16,90,[2.231292e-10],0.0006728329,7.265806e-05,Poisson
17,100,[1.1898973e-09],0.0006217936,0.00015640259,Poisson
18,200,[7.603505e-11],0.00093703845,3.2037497e-05,Poisson
19,300,[3.7843693e-09],0.00045880445,0.00023716688,Poisson
20,400,[2.9753844e-10],0.0010872936,9.691715e-05,Poisson
21,500,[8.0714013e-10],0.00030314398,0.0001424253,Poisson
22,600,[3.5600695e-10],0.0006964427,0.00010436773,Poisson
23,700,[6.8139633e-10],0.00039067277,0.00012366474,Poisson
24,800,[8.735538e-10],7.138839e-05,0.00015729666,Poisson
25,900,[9.304817e-10],0.0006985749,0.00013458729,Poisson
26,1000,[9.629292e-10],0.0011307796,0.00014954805,Poisson
27,2000,[9.639961e-10],0.00023133321,0.00018006563,Poisson
28,3000,[1.5280796e-09],0.00053422514,0.00024062395,Poisson
29,4000,[9.408694e-10],0.0005587255,0.0001500845,Poisson
30,5000,[1.4872215e-10],0.00075533683,7.2434545e-05,Poisson
31,6000,[8.972878e-11],0.00046232925,5.6922436e-05,Poisson
32,7000,[1.306744e-09],0.000896164,0.00017219782,Poisson
33,8000,[1.6560155e-09],0.00026580523,0.00018213433,Poisson
34,9000,[1.0005929e-09],0.00055091956,0.00016576052,Poisson
35,10000,[2.7748175e-09],0.0011814504,0.00026851892,Poisson
36,100000,[1.8547921e-09],0.0006834057,0.00020372868,Poisson
